urn,school_name,la_name,fsm_prop
134909,3 Dimensions,Somerset,z
148840,A.R.T.S. Education,Knowsley,z
142835,ACE Schools Plymouth,Plymouth,53.4
147064,ACE Tiverton Special School,Devon,34.9
125421,ACS Cobham International School,Surrey,z
131173,ACS Egham International School,Surrey,z
102458,ACS Hillingdon International School,Hillingdon,z
149157,ADO River Valley,Bexley,z
147536,AIM Academy North London,Enfield,28.3
119836,AKS Lytham,Lancashire,z
139559,ALP Leicester,Leicestershire,z
148051,ALP Nuneaton,Warwickshire,z
149202,ALP Sittingbourne,Kent,z
145949,APTCOO - A Place to Call Our Own,Nottinghamshire,z
146214,ARK John Archer Primary Academy,Wandsworth,64
143746,"ASPIRE Centre, Kings Leadership Academy Liverpool",Liverpool,33.3
142779,ASPIRE: Lifeskills,Leicestershire,z
140696,Ab Kettleby Primary School,Leicestershire,6.3
139837,Abacus Belsize Primary School,Camden,11.8
133312,Abacus Primary School,Essex,8.2
123775,Abbas and Templecombe Church of England Primary School,Somerset,26.6
117011,Abberley Hall,Worcestershire,z
116780,Abberley Parochial VC Primary School,Worcestershire,5.1
147669,Abbey Catholic Primary School,Birmingham,27.7
140190,Abbey CofE Academy,West Northamptonshire,28.1
125654,Abbey CofE Infant School,Warwickshire,28.3
136083,Abbey College Cambridge,Cambridgeshire,z
105601,Abbey College Manchester,Manchester,z
117035,Abbey College in Malvern,Worcestershire,z
137377,"Abbey College, Ramsey",Cambridgeshire,21.5
119052,Abbey Court Foundation Special School,Medway,38.1
149038,Abbey Farm Educate Together Primary,Swindon,0
111484,Abbey Gate College,Cheshire West and Chester,z
122659,Abbey Gates Primary School,Nottinghamshire,3
137083,Abbey Grange Church of England Academy,Leeds,17.5
107188,Abbey Green Nursery School,Bradford,0
139404,Abbey Hey Primary Academy,Manchester,60.2
139974,Abbey Hill Academy,Stockton-on-Tees,46.2
136006,Abbey Hill Primary & Nursery,Nottinghamshire,63
124500,Abbey Hill School and College,Stoke-on-Trent,48.5
146487,Abbey Hulton Primary School,Stoke-on-Trent,61
103930,Abbey Infant School,Sandwell,14.8
136988,Abbey Infants' School,Darlington,4.9
136989,Abbey Junior School,Darlington,10.8
103929,Abbey Junior School,Sandwell,25.5
106982,Abbey Lane Primary School,Sheffield,14.9
130856,Abbey Manor College,Lewisham,46.7
147148,Abbey Mead Primary Academy,Leicester,13
146073,Abbey Meads Community Primary School,Swindon,20.2
140172,Abbey Park Academy,Calderdale,44
116716,Abbey Park First and Nursery School,Worcestershire,28.3
116774,Abbey Park Middle School,Worcestershire,37.4
145744,Abbey Park School,Swindon,15.2
148382,Abbey Primary School,Nottinghamshire,18.5
146160,Abbey Primary School,Sutton,18.2
104168,Abbey Primary School,Walsall,43.8
148168,Abbey Road Primary School,Nottinghamshire,4.2
142768,Abbey School,Rotherham,50
113566,Abbey School,Torbay,z
147951,Abbey School for Exceptional Children,Cheshire West and Chester,z
139660,Abbey View,Gloucestershire,0
147062,Abbey View Primary Academy,Buckinghamshire,17.3
119307,Abbey Village Primary School,Lancashire,25.5
100099,Abbey Wood Nursery School,Greenwich,17.5
139709,Abbey Woods Academy,Oxfordshire,44.4
143052,Abbeyfield Primary Academy,Sheffield,43.4
138858,Abbeyfield School,West Northamptonshire,21.4
131969,Abbeyfield School,Wiltshire,17.9
144181,Abbeyfields First School,Northumberland,8.4
147063,Abbeygate Sixth Form College,Suffolk,5.7
115601,Abbeymead Primary School,Gloucestershire,13.8
110401,Abbeys Primary School,Milton Keynes,27.7
139067,Abbeywood Community School,South Gloucestershire,17.5
142541,Abbeywood First School,Worcestershire,22.9
146571,Abbeywood School,Rotherham,z
144737,Abbot Alphege Academy,Bath and North East Somerset,37.5
124449,Abbot Beyne School,Staffordshire,23.9
147933,Abbot's Hall Community Primary School,Suffolk,17.4
117600,Abbot's Hill School,Hertfordshire,z
104736,Abbot's Lea School,Liverpool,56.5
148006,Abbot's Way School,Somerset,z
125573,Abbots Farm Infant School,Warwickshire,10.1
125580,Abbots Farm Junior School,Warwickshire,22.4
145698,Abbots Green Primary Academy,Suffolk,10.2
139605,Abbots Hall Primary School,Thurrock,17.8
117083,Abbots Langley School,Hertfordshire,9.9
110850,Abbots Ripton CofE Primary School,Cambridgeshire,11.6
102649,Abbotsbury Primary School,Merton,43.1
106386,Abbotsford Preparatory School,Trafford,z
113003,Abbotsholme School,Derbyshire,z
113183,Abbotskerswell Primary School,Devon,10.9
141380,Abbotsweld Primary Academy,Essex,27
116482,Abbotswood Junior School,Hampshire,25.8
132199,Abbotswood Primary School,South Gloucestershire,23.5
105387,Abbott Community Primary School,Manchester,46
116266,Abbotts Ann Church of England Primary School,Hampshire,6.5
136663,Abbs Cross Academy and Arts College,Havering,22
117111,Abel Smith School,Hertfordshire,13.2
101177,Abercorn School,Westminster,z
112670,Abercrombie Primary School,Derbyshire,27.5
104507,Abercromby Nursery School,Liverpool,0
125317,Aberdour Preparatory School,Surrey,z
107985,Aberford Church of England Voluntary Controlled Primary School,Leeds,15.9
148419,Abigail's Place,Worcestershire,z
134911,Abingdon House School,Westminster,z
131519,Abingdon Primary School,Middlesbrough,40.5
106074,Abingdon Primary School,Stockport,35.3
123312,Abingdon School,Oxfordshire,z
138952,Abington Vale Primary School,West Northamptonshire,9.3
117141,Aboyne Lodge Junior Mixed and Infant School,Hertfordshire,9.6
105560,Abraham Moss Community School,Manchester,41.3
106414,Abram Bryn Gates Primary School,Wigan,0
135822,Abrar Academy,Lancashire,z
135483,Abu Bakr Boys School,Walsall,z
132750,Abu Bakr Girls School,Walsall,z
103030,Acacia Nursery,Waltham Forest,0
105401,Acacias Community Primary School,Manchester,28.5
145477,Academy 360,Sunderland,63.2
139290,Academy@Worden,Lancashire,31.2
132772,Access School,Shropshire,z
135649,Accrington Academy,Lancashire,31.4
119441,Accrington Benjamin Hargreaves Voluntary Aided Church of England Primary School,Lancashire,23.9
148919,Accrington Huncoat Primary School,Lancashire,36.8
119183,Accrington Hyndburn Park Primary School,Lancashire,23.4
119184,Accrington Peel Park Primary School,Lancashire,29.6
119185,Accrington Spring Hill Community Primary School,Lancashire,28
137421,Accrington St Christopher's Church of England High School,Lancashire,9.7
119445,Accrington St John with St Augustine Church of England Primary School,Lancashire,43.6
119446,Accrington St Mary Magdalen's Church of England Primary School,Lancashire,50.3
